head_label,tail_label,score,kg_score,kg_score_norm,meta_score,rank
312150,335430,0.8799107142857143,-6.224049091339111,1.0,0.5196428571428571,1
215160,251430,0.8797794117647059,-6.177104949951172,1.0,0.5191176470588235,1
265690,265950,0.8796875,-6.432806968688965,1.0,0.51875,1
96200,201570,0.8796875,-5.834092140197754,1.0,0.51875,1
219200,253750,0.8796875,-6.28060245513916,1.0,0.51875,1
303210,265950,0.8796875,-6.251670837402344,1.0,0.51875,1
322290,283080,0.8796875,-6.497255802154541,1.0,0.51875,1
231160,350970,0.8796434991492869,-6.532044887542725,0.9919056179133349,0.5428571428571428,2
361550,80310,0.8791666666666667,-6.485236167907715,1.0,0.5166666666666666,1
209370,264380,0.8791666666666667,-6.280333995819092,1.0,0.5166666666666666,1
347830,292120,0.8791666666666667,-6.438131809234619,1.0,0.5166666666666666,1
248470,223710,0.8790276930978438,-6.651015758514404,0.9984737057396539,0.5206896551724138,1
355140,264340,0.8784090909090909,-6.5669779777526855,1.0,0.5136363636363637,1
65560,217140,0.8784090909090909,-6.288064002990723,1.0,0.5136363636363637,1
299260,236730,0.8784090909090909,-6.392887592315674,1.0,0.5136363636363637,1
286360,204060,0.8784090909090909,-6.685253143310547,1.0,0.5136363636363637,1
208460,236730,0.8784090909090909,-6.314417839050293,1.0,0.5136363636363637,1
330350,264340,0.8784090909090909,-6.485445022583008,1.0,0.5136363636363637,1
311560,220240,0.878125,-6.466247081756592,1.0,0.5125,1
284750,330990,0.8780861047602215,-5.993038654327393,0.904114806346962,0.8,2
73190,287070,0.8778409090909091,-6.247110366821289,1.0,0.5113636363636364,1
252670,227080,0.8776785714285714,-6.299717903137207,1.0,0.5107142857142857,1
252410,227200,0.8776785714285714,-6.435842514038086,1.0,0.5107142857142857,1
239030,220740,0.8776785714285714,-6.328279495239258,1.0,0.5107142857142857,1
397350,61520,0.8776785714285714,-6.006978511810303,1.0,0.5107142857142857,1
211400,227200,0.8776785714285714,-6.403652191162109,1.0,0.5107142857142857,1
227200,211400,0.8776785714285714,-6.3699212074279785,1.0,0.5107142857142857,1
313500,325610,0.8776785714285714,-6.558324337005615,1.0,0.5107142857142857,1
224500,344850,0.8775148741850838,-6.560643196105957,0.9964566138559738,0.5206896551724138,1
47000,330990,0.8772058823529412,-5.718776226043701,1.0,0.5088235294117647,1
310470,208520,0.8771551724137931,-6.2962822914123535,1.0,0.5086206896551724,1
347430,284710,0.8770833333333333,-6.292002201080322,1.0,0.5083333333333333,1
234160,214970,0.876875,-6.410526275634766,1.0,0.5075,1
91200,296490,0.876875,-6.711177825927734,1.0,0.5075,1
217690,343710,0.8766304347826087,-6.399134635925293,1.0,0.5065217391304347,1
262550,248310,0.8766304347826087,-6.571115016937256,1.0,0.5065217391304347,1
